Addresss,station,walk_min,sale_price ,layout,floor_area_sqm,building_age,structure,description
あすみが丘,土気,,11000000,３ＬＤＫ,,1997年,ＲＣ,あすみが丘、土気から、1997年、ＲＣの３ＬＤＫ、のマンションが11000000で取引された。
あすみが丘,土気,19,20000000,４ＬＤＫ,105,1993年,ＲＣ,あすみが丘、土気から19、1993年、ＲＣの４ＬＤＫ、105のマンションが20000000で取引された。
土気町,土気,12,5900000,２ＬＤＫ,55,2001年,ＲＣ,土気町、土気から12、2001年、ＲＣの２ＬＤＫ、55のマンションが5900000で取引された。
土気町,土気,5,13000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが13000000で取引された。
あすみが丘,土気,19,13000000,４ＬＤＫ,100,1993年,ＲＣ,あすみが丘、土気から19、1993年、ＲＣの４ＬＤＫ、100のマンションが13000000で取引された。
土気町,土気,5,11000000,３ＬＤＫ,80,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、80のマンションが11000000で取引された。
土気町,土気,9,7500000,３ＬＤＫ,65,1994年,ＲＣ,土気町、土気から9、1994年、ＲＣの３ＬＤＫ、65のマンションが7500000で取引された。
土気町,土気,5,17000000,２ＬＤＫ,70,1998年,ＲＣ,土気町、土気から5、1998年、ＲＣの２ＬＤＫ、70のマンションが17000000で取引された。
あすみが丘,土気,19,10000000,３ＬＤＫ,75,1994年,ＲＣ,あすみが丘、土気から19、1994年、ＲＣの３ＬＤＫ、75のマンションが10000000で取引された。
あすみが丘,土気,17,15000000,３ＬＤＫ,80,1994年,ＲＣ,あすみが丘、土気から17、1994年、ＲＣの３ＬＤＫ、80のマンションが15000000で取引された。
土気町,土気,12,7000000,２ＬＤＫ,55,2001年,ＲＣ,土気町、土気から12、2001年、ＲＣの２ＬＤＫ、55のマンションが7000000で取引された。
土気町,土気,5,13000000,３ＬＤＫ,80,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
土気町,土気,5,13000000,３ＬＤＫ＋Ｓ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ＋Ｓ、75のマンションが13000000で取引された。
土気町,土気,12,4700000,３ＬＤＫ,55,2001年,ＲＣ,土気町、土気から12、2001年、ＲＣの３ＬＤＫ、55のマンションが4700000で取引された。
あすみが丘,土気,17,17000000,３ＬＤＫ,100,1994年,ＲＣ,あすみが丘、土気から17、1994年、ＲＣの３ＬＤＫ、100のマンションが17000000で取引された。
あすみが丘,土気,19,10000000,２ＬＤＫ,90,1993年,ＲＣ,あすみが丘、土気から19、1993年、ＲＣの２ＬＤＫ、90のマンションが10000000で取引された。
あすみが丘,土気,18,14000000,３ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から18、1993年、ＲＣの３ＬＤＫ、80のマンションが14000000で取引された。
あすみが丘,土気,17,13000000,３ＬＤＫ,80,1994年,ＲＣ,あすみが丘、土気から17、1994年、ＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
あすみが丘,土気,14,14000000,４ＬＤＫ,90,1997年,ＲＣ,あすみが丘、土気から14、1997年、ＲＣの４ＬＤＫ、90のマンションが14000000で取引された。
高津戸町,土気,15,9500000,３ＬＤＫ,75,1992年,ＲＣ,高津戸町、土気から15、1992年、ＲＣの３ＬＤＫ、75のマンションが9500000で取引された。
土気町,土気,12,5400000,２ＬＤＫ,55,2001年,ＲＣ,土気町、土気から12、2001年、ＲＣの２ＬＤＫ、55のマンションが5400000で取引された。
土気町,土気,5,11000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
あすみが丘,土気,17,13000000,３ＬＤＫ,75,1994年,ＲＣ,あすみが丘、土気から17、1994年、ＲＣの３ＬＤＫ、75のマンションが13000000で取引された。
あすみが丘,土気,17,13000000,３ＬＤＫ,80,1995年,ＲＣ,あすみが丘、土気から17、1995年、ＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
あすみが丘,土気,17,14000000,３ＬＤＫ,80,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、80のマンションが14000000で取引された。
土気町,土気,5,14000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが14000000で取引された。
土気町,土気,7,8300000,３ＬＤＫ,65,1994年,ＲＣ,土気町、土気から7、1994年、ＲＣの３ＬＤＫ、65のマンションが8300000で取引された。
土気町,土気,9,8300000,３ＬＤＫ,65,1994年,ＲＣ,土気町、土気から9、1994年、ＲＣの３ＬＤＫ、65のマンションが8300000で取引された。
あすみが丘,土気,3,11000000,３ＬＤＫ,65,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの３ＬＤＫ、65のマンションが11000000で取引された。
あすみが丘,土気,17,12000000,３ＬＤＫ,80,1994年,ＲＣ,あすみが丘、土気から17、1994年、ＲＣの３ＬＤＫ、80のマンションが12000000で取引された。
あすみが丘,土気,16,20000000,３ＬＤＫ,70,2007年,ＲＣ,あすみが丘、土気から16、2007年、ＲＣの３ＬＤＫ、70のマンションが20000000で取引された。
あすみが丘,土気,3,11000000,２ＬＤＫ,60,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの２ＬＤＫ、60のマンションが11000000で取引された。
土気町,土気,5,13000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが13000000で取引された。
あすみが丘,土気,17,11000000,３ＬＤＫ,80,1994年,ＲＣ,あすみが丘、土気から17、1994年、ＲＣの３ＬＤＫ、80のマンションが11000000で取引された。
あすみが丘,土気,17,13000000,３ＬＤＫ,80,1997年,ＳＲＣ,あすみが丘、土気から17、1997年、ＳＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
あすみが丘,土気,17,14000000,３ＬＤＫ,85,1994年,ＲＣ,あすみが丘、土気から17、1994年、ＲＣの３ＬＤＫ、85のマンションが14000000で取引された。
あすみが丘,土気,,13000000,３ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から、1993年、ＲＣの３ＬＤＫ、80のマンションが13000000で取引された。
あすみが丘,土気,3,11000000,３ＬＤＫ,70,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの３ＬＤＫ、70のマンションが11000000で取引された。
あすみが丘,土気,20,9000000,２ＬＤＫ,60,1993年,ＲＣ,あすみが丘、土気から20、1993年、ＲＣの２ＬＤＫ、60のマンションが9000000で取引された。
土気町,土気,5,11000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが11000000で取引された。
あすみが丘,土気,16,21000000,３ＬＤＫ,70,2007年,ＲＣ,あすみが丘、土気から16、2007年、ＲＣの３ＬＤＫ、70のマンションが21000000で取引された。
あすみが丘,土気,17,16000000,３ＬＤＫ,80,1995年,ＲＣ,あすみが丘、土気から17、1995年、ＲＣの３ＬＤＫ、80のマンションが16000000で取引された。
土気町,土気,5,9000000,３ＬＤＫ,75,1997年,ＲＣ,土気町、土気から5、1997年、ＲＣの３ＬＤＫ、75のマンションが9000000で取引された。
